年月,地區,信用卡產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新臺幣]
201401,臺灣,食,博士,137218,225892500
201401,臺灣,食,碩士,1267451,2017313183
201401,臺灣,食,大學,4350898,7105642286
201401,臺灣,食,專科,2196467,3450059182
201401,臺灣,食,高中高職,2747387,4531542818
201401,臺灣,食,其他,2850282,4873234895
201401,臺灣,衣,博士,12019,38809041
201401,臺灣,衣,碩士,167080,486205978
201401,臺灣,衣,大學,783569,2246633828
201401,臺灣,衣,專科,398411,1178769160
201401,臺灣,衣,高中高職,547523,1682383177
201401,臺灣,衣,其他,467769,1498272373
201401,臺灣,住,博士,26283,125424993
201401,臺灣,住,碩士,252822,1238707989
201401,臺灣,住,大學,827802,4182673399
201401,臺灣,住,專科,369426,1838513057
201401,臺灣,住,高中高職,432464,2176988378
201401,臺灣,住,其他,452692,2356427559
201401,臺灣,行,博士,122404,155003278
201401,臺灣,行,碩士,1145533,1331647685
201401,臺灣,行,大學,4099000,4395343698
201401,臺灣,行,專科,2159783,2416260914
201401,臺灣,行,高中高職,3084863,3662226543
201401,臺灣,行,其他,2678135,3195009776
201401,臺灣,文教康樂,博士,36028,277376379
201401,臺灣,文教康樂,碩士,436639,2517039132
201401,臺灣,文教康樂,大學,1497405,7470687328
201401,臺灣,文教康樂,專科,520001,2966773940
201401,臺灣,文教康樂,高中高職,583370,3290106871
201401,臺灣,文教康樂,其他,669335,4042399494
201401,臺灣,百貨,博士,57590,171031843
201401,臺灣,百貨,碩士,662017,1908267135
201401,臺灣,百貨,大學,2448309,6930416618
201401,臺灣,百貨,專科,1051182,3001520305
201401,臺灣,百貨,高中高職,1169013,3624668237
201401,臺灣,百貨,其他,1394119,4172873002
201401,臺灣,其他,博士,106324,411536052
201401,臺灣,其他,碩士,1243764,4258108411
201401,臺灣,其他,大學,5236951,16788903802
201401,臺灣,其他,專科,2471424,8192877528
201401,臺灣,其他,高中高職,3557335,12104425162
201401,臺灣,其他,其他,2927649,10654594080
201402,臺灣,食,博士,115531,154194613
201402,臺灣,食,碩士,1075430,1451993233
201402,臺灣,食,大學,3574478,4819367708
201402,臺灣,食,專科,1753061,2252504996
201402,臺灣,食,高中高職,2110351,2838759751
201402,臺灣,食,其他,2201579,3090355920
201402,臺灣,衣,博士,8139,24050645
201402,臺灣,衣,碩士,119158,333350126
201402,臺灣,衣,大學,533828,1447678511
201402,臺灣,衣,專科,246093,691111426
201402,臺灣,衣,高中高職,321839,934454769
201402,臺灣,衣,其他,303681,932569071
201402,臺灣,住,博士,20432,86962200
201402,臺灣,住,碩士,203887,879932180
201402,臺灣,住,大學,661758,2885331407
201402,臺灣,住,專科,286268,1243928674
201402,臺灣,住,高中高職,330139,1480118551
201402,臺灣,住,其他,354869,1666547209
201402,臺灣,行,博士,108304,136113410
201402,臺灣,行,碩士,1026255,1195280055
201402,臺灣,行,大學,3676841,3968566364
201402,臺灣,行,專科,1952015,2178353633
201402,臺灣,行,高中高職,2772900,3281251581
201402,臺灣,行,其他,2404859,2860008183
201402,臺灣,文教康樂,博士,36655,277772225
201402,臺灣,文教康樂,碩士,439769,2422402240
201402,臺灣,文教康樂,大學,1558012,7744747337
201402,臺灣,文教康樂,專科,548001,3384150831
201402,臺灣,文教康樂,高中高職,621661,3828305635
201402,臺灣,文教康樂,其他,698567,4216169455
201402,臺灣,百貨,博士,47554,134087392
201402,臺灣,百貨,碩士,557137,1511355386
201402,臺灣,百貨,大學,2046082,5475557588
201402,臺灣,百貨,專科,857147,2319765318
201402,臺灣,百貨,高中高職,944264,2742429034
201402,臺灣,百貨,其他,1148182,3251936394
201402,臺灣,其他,博士,94098,350754422
201402,臺灣,其他,碩士,1111327,3432547443
201402,臺灣,其他,大學,4683295,13735068697
201402,臺灣,其他,專科,2212766,7040234486
201402,臺灣,其他,高中高職,3197654,10341355740
201402,臺灣,其他,其他,2594527,8652628372
201403,臺灣,食,博士,128408,161754767
201403,臺灣,食,碩士,1198215,1531593742
201403,臺灣,食,大學,4072945,5103589629
201403,臺灣,食,專科,2031449,2418423011
201403,臺灣,食,高中高職,2499831,3102584633
201403,臺灣,食,其他,2582684,3433594870
201403,臺灣,衣,博士,8824,26829614
201403,臺灣,衣,碩士,131762,367535072
201403,臺灣,衣,大學,607008,1644064875
201403,臺灣,衣,專科,274343,765326498
201403,臺灣,衣,高中高職,360629,1036386350
201403,臺灣,衣,其他,340250,1052799611
201403,臺灣,住,博士,19682,89247591
201403,臺灣,住,碩士,201271,914864658
201403,臺灣,住,大學,665938,3062241380
201403,臺灣,住,專科,287486,1321996747
201403,臺灣,住,高中高職,334169,1577434283
201403,臺灣,住,其他,358266,1788723587
201403,臺灣,行,博士,126095,161116861
201403,臺灣,行,碩士,1176857,1378705037
201403,臺灣,行,大學,4188289,4526538198
201403,臺灣,行,專科,2186341,2434917994
201403,臺灣,行,高中高職,3114625,3701443238
201403,臺灣,行,其他,2719759,3268672356
201403,臺灣,文教康樂,博士,34969,261145692
201403,臺灣,文教康樂,碩士,439678,2317134657
201403,臺灣,文教康樂,大學,1593453,7164545591
201403,臺灣,文教康樂,專科,522064,2692114426
201403,臺灣,文教康樂,高中高職,599477,3184651311
201403,臺灣,文教康樂,其他,688393,3949790414
201403,臺灣,百貨,博士,46177,118935772
201403,臺灣,百貨,碩士,549149,1434559845
201403,臺灣,百貨,大學,2053083,5364125588
201403,臺灣,百貨,專科,859446,2328046003
201403,臺灣,百貨,高中高職,952455,2776082957
201403,臺灣,百貨,其他,1151580,3205313959
201403,臺灣,其他,博士,105977,384157212
201403,臺灣,其他,碩士,1274351,3898453019
201403,臺灣,其他,大學,5369859,15737301639
201403,臺灣,其他,專科,2516643,8086697922
201403,臺灣,其他,高中高職,3665354,12323990277
201403,臺灣,其他,其他,2955051,10383345380
201404,臺灣,食,博士,123647,153260149
201404,臺灣,食,碩士,1149160,1448093978
201404,臺灣,食,大學,3923784,4851759488
201404,臺灣,食,專科,1973405,2313995727
201404,臺灣,食,高中高職,2417549,2974956024
201404,臺灣,食,其他,2496101,3240176794
201404,臺灣,衣,博士,8491,25497501
201404,臺灣,衣,碩士,128112,348652131
201404,臺灣,衣,大學,599872,1572385356
201404,臺灣,衣,專科,273020,749632286
201404,臺灣,衣,高中高職,362667,1034430746
201404,臺灣,衣,其他,333303,1018544510
201404,臺灣,住,博士,18814,89972400
201404,臺灣,住,碩士,192727,934010812
201404,臺灣,住,大學,644532,3219546886
201404,臺灣,住,專科,284632,1476746352
201404,臺灣,住,高中高職,327565,1704138105
201404,臺灣,住,其他,346709,1868262557
201404,臺灣,行,博士,119266,151374640
201404,臺灣,行,碩士,1129395,1303769827
201404,臺灣,行,大學,4036005,4262553387
201404,臺灣,行,專科,2112249,2313066181
201404,臺灣,行,高中高職,3007982,3543334394
201404,臺灣,行,其他,2614979,3092031012
201404,臺灣,文教康樂,博士,32236,252559032
201404,臺灣,文教康樂,碩士,414863,2288300620
201404,臺灣,文教康樂,大學,1508321,7176483758
201404,臺灣,文教康樂,專科,496629,2784697383
201404,臺灣,文教康樂,高中高職,568152,3350171034
201404,臺灣,文教康樂,其他,648512,4091537277
201404,臺灣,百貨,博士,47849,145210396
201404,臺灣,百貨,碩士,575185,1718429853
201404,臺灣,百貨,大學,2180000,6395671775
201404,臺灣,百貨,專科,926059,2754348914
201404,臺灣,百貨,高中高職,1033642,3331913682
201404,臺灣,百貨,其他,1242555,4194957903
201404,臺灣,其他,博士,103536,376814432
201404,臺灣,其他,碩士,1231204,3871117771
201404,臺灣,其他,大學,5113218,15426673579
201404,臺灣,其他,專科,2445076,8057764011
201404,臺灣,其他,高中高職,3468698,11885497165
201404,臺灣,其他,其他,2829498,10232181793
201405,臺灣,食,博士,136717,182178423
201405,臺灣,食,碩士,1276250,1710231743
201405,臺灣,食,大學,4329219,5678098847
201405,臺灣,食,專科,2155618,2705888327
201405,臺灣,食,高中高職,2625715,3435914138
201405,臺灣,食,其他,2720074,3730580392
201405,臺灣,衣,博士,9552,27624733
201405,臺灣,衣,碩士,145544,392495902
201405,臺灣,衣,大學,658620,1697831080
201405,臺灣,衣,專科,298637,810960736
201405,臺灣,衣,高中高職,396062,1107995437
201405,臺灣,衣,其他,366171,1080130290
201405,臺灣,住,博士,20964,98220025
201405,臺灣,住,碩士,215548,998105103
201405,臺灣,住,大學,704523,3339809922
201405,臺灣,住,專科,308300,1510743337
201405,臺灣,住,高中高職,353686,1775883817
201405,臺灣,住,其他,377152,1967410447
